id,author,text,likeCount,publishedAt
"Ugw_0iXAw9PHutbb32l4AaABAg","@Hanover91","Whenever I walk into any room every male in my presence literally shits their pants. It's a burden I wouldn't wish on anyone.",0,"2026-05-01T04:56:09Z"
"UgycJ4O-Nf-FKoAMs_d4AaABAg","@Deanthony-y6l","That's a terrible thing in a state of pussys.",1,"2026-05-01T04:20:51Z"
"UgxJ4Lb5p-Fa75m-h114AaABAg","@aartaxxaartaxx2900","I never thought of myself as intimidating, but all these do register for me in both my personal and work life. I wonder how knowing this fact could affect one’s behaviour if at all.",0,"2026-05-01T00:25:29Z"
"Ugzz1Kel2RBOzSp1ihh4AaABAg","@00fuzzleton","Anyone whos an adult doesnt derseve kid gloves.  Well if you 20+ im willing to give a little lee way.",0,"2026-05-01T00:06:12Z"
"Ugzek5F7TrkWO9G2QQB4AaABAg","@donotneed2250","I've been told a few times through the years that I made someone afraid to talk to me.  One of my relatives last year told me I scared her when she was growing up.  Some people have also said I look too serious to talk to.  ""Why don't you ever smile,"" I've been asked to which I usually respond with, ""when I see something that makes me smile I will.""",0,"2026-04-30T23:58:13Z"
"UgwSL1jnY2QACoeDa-p4AaABAg","@williamharris5957","I go to work 1 hour  before work to set in silence.  Think about the day and prepare. Its calming",2,"2026-04-30T23:08:11Z"
"UgwGdpug2PN3Z70OqBV4AaABAg","@SnowGetter","This is me to a tee, thanks for sharing this.",1,"2026-04-30T22:06:09Z"
"UgxtEGxvILglF4UKrt54AaABAg","@cameronroberts4834","This is why I only really had one best friend. Thick as thieves. Well known in school, but never hung out with the ""popular"" crowd. Played football, but didn't hang out with the other jocks. We noticed a long time ago that people were trying too hard, masking their true feelings and intentions, and faking all sort of appreciation or loyalty. Being into something you really aren't, just to feel like you are part of the crowd. I tried to do this, and it just felt so wrong. I had girlfriends say I was intimidating. I would ask how? They could never actually give me an example so I know it wasn't anything intentional.",1,"2026-04-30T21:29:49Z"
"Ugx357XIvHUEHVpTe8h4AaABAg","@gambietti","I don't forget to pretend, I avoid it",2,"2026-04-30T21:24:41Z"
"UgyCr3Pf_AwjrkNFVtx4AaABAg","@socalsteeler7135","😅😂🤣 You're killing me Smalls. Reading all the comments.",1,"2026-04-30T21:12:58Z"
"UgzKbp2UK_lCLruU-Tt4AaABAg","@razorbackfan2011","My whole family has told me many times I'm an intimidating person, I am not trying, I dont want to be.",3,"2026-04-30T20:47:29Z"
"Ugyxu7Ve2l6kDQ-GfnB4AaABAg","@marilynharris1043","all",0,"2026-04-30T20:11:42Z"
"Ugyfoxk9jYzpD5xpcEJ4AaABAg","@gbuttag4998","Im kinda feeling a little uneasy that my algorithm knows me. THIS video describes me to a T. W...T...F?  Trippy shyt man.",1,"2026-04-30T19:38:26Z"
"UgyZH87iCx-K68ez2K54AaABAg","@normangrandy8904","This is me 100% when I walk into a room or an elevator, I love the physical and verbal reactions, to me just walking in. Then when fake covid hit, it got really bad. People exposed themselves on a massive level. My parents were like this with me. They bullied and terrorized me everyday because of it. Now I bully bullies. And I'm really fn good at it.",0,"2026-04-30T18:43:01Z"
"UgwFMso7Jc4MXSIAgBd4AaABAg","@DonnaMajors-v6b","WOW.. Videos like this was so helpful to me on my journey of bringing back my husband , to think by this exact same time last year, he left me, and after a period of no contact, i reached out to him and it still didn't work, but then again, i was introduced to a wonderful lady, gabriela blanca lopez , who is a certified spiritual therapist, with her help ,i was able to get her back, and for over a year now, it has been smooth sailing. fellas, if you love her, do not give up on her, show her and act on it, you are not a simp for going all out for the one you love..xx",22,"2026-04-30T17:31:36Z"
"UgwP4oi33dpjxpgmwl94AaABAg","@bradjohnson1473","All of them.",0,"2026-04-30T17:17:42Z"
"UgwrNH7ckednkQlwP3d4AaABAg","@frandymichel7148","Wow. Watching this made me feel as if I were personally studied.",0,"2026-04-30T17:12:10Z"
"Ugwh0pJq357HFV24mGt4AaABAg","@Ryland-z5u","hmm all of these happen to me",0,"2026-04-30T17:08:08Z"
"Ugwg753dYp471xtWo4p4AaABAg","@Sophiecjp","My whole life ppl have done this to me. I always wonder why? I never said anything to them and ppl are scared of me. I am a person who does not care what others think of me. I have no control over that. Ppl thoughts cannot hurt me, my thoughts can so I only worry about my thoughts. I am not introverted, I am just me.",0,"2026-04-30T16:55:05Z"
"Ugw9BJE0ouLwBT1RLxh4AaABAg","@lyndalspirit916","ASE!!! All of them are 100% on point.",0,"2026-04-30T16:51:43Z"
"Ugw3KHGpLRpX1HOKe1Z4AaABAg","@BigDaddyDunes","Shhhh!  Stop! You are revealing our secrets to living a life of being fulfilled and happy. lol",0,"2026-04-30T16:42:47Z"
"UgyDT-oxeXxTVElK1Ex4AaABAg","@porly33","Empty vessels make the most noise.",0,"2026-04-30T15:50:02Z"
"UgzMznCn_ueXJHuWyvh4AaABAg","@acraftyginger3086","this describes a scorpio",0,"2026-04-30T15:47:46Z"
"UgxCPvAtW-UoCIi_ZiB4AaABAg","@gunner678","Exactly me, all of it. I was going to show it to my wife, but no point really, she's lived with it for almost 40 years.",0,"2026-04-30T15:18:22Z"
"Ugxj1k23Ec7MGmb9b7J4AaABAg","@stevefrank3599","tony soprano",0,"2026-04-30T14:28:53Z"
"UgzoyMTWOCtren3F8F14AaABAg","@newfiefitz412","We didnt forget to pretend, we dont want to pretend anymore. It comes off as fake and untrustworthy to me. So i speak my truth no matter what! I dont care what people think of me, lost my job during covid when everyone bent the knee. I was willing to pitch a tent in the woods if i had to. Only 3 of us in the whole family not vaxxed. I enjoy being alone, but also feel alone in this world but i know im.not.. many others out there with similar mind set and are sick of the 8-5 slavery system!",0,"2026-04-30T14:28:18Z"
